Agricultural Region,Municipality,Neighborhood,Crop,Scientific Name,Production unit,Production,Production in pounds,Production in kilograms,Planted cuerdas,Planted hectares,Planted square feet,Harvested cuerdas,Harvested hectares,Harvested square feet
Caguas,Maunabo,Emajagua,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,1,0.39,"42,306.43",0,0,0
Caguas,Maunabo,Quebrada Arenas,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,1,0.39,"42,306.43",0,0,0
Mayagüez,Mayagüez,Bateyes,Coffee - sun grown,Coffea spp.,Quintal,67,"6,786.00","3,078.09",51.5,20.24,"2,178,780.95",24,9.43,"1,015,354.23"
Mayagüez,Mayagüez,Leguísamo,Coffee - shade grown,Coffea spp.,Quintal,35,"3,500.00","1,587.57",12,4.72,"507,677.12",12,4.72,"507,677.12"
Mayagüez,Mayagüez,Leguísamo,Coffee - sun grown,Coffea spp.,Quintal,74,"7,400.00","3,356.58",16,6.29,"676,902.83",14,5.5,"592,289.97"
Mayagüez,Mayagüez,Limón,Coffee - shade grown,Coffea spp.,Quintal,21,"2,100.00",952.54,18,7.07,"761,515.68",17,6.68,"719,209.25"
Mayagüez,Mayagüez,Limón,Coffee - sun grown,Coffea spp.,Quintal,12,"1,200.00",544.31,7,2.75,"296,144.98",4,1.57,"169,225.71"
Mayagüez,Mayagüez,Malezas,Coffee - shade grown,Coffea spp.,Quintal,2,200,90.72,1,0.39,"42,306.43",1,0.39,"42,306.43"
Mayagüez,Mayagüez,Malezas,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,2,0.79,"84,612.85",0,0,0
Mayagüez,Mayagüez,Montoso,Coffee - shade grown,Coffea spp.,Quintal,75,"7,500.00","3,401.94",12,4.72,"507,677.12",10,3.93,"423,064.26"
Mayagüez,Mayagüez,Montoso,Coffee - sun grown,Coffea spp.,Quintal,201,"20,124.00","9,128.09",73,28.69,"3,088,369.13",65,25.54,"2,749,917.73"
Mayagüez,Mayagüez,Naranjales,Coffee - shade grown,Coffea spp.,Quintal,3,300,136.08,2,0.79,"84,612.85",2,0.79,"84,612.85"
Mayagüez,Mayagüez,Naranjales,Coffee - sun grown,Coffea spp.,Quintal,9,900,408.24,4,1.57,"169,225.71",2.5,0.98,"105,766.07"
